gpu,solver_key,solver,divergence,dim,n_osc,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,0.0,64,32,1000,135.77270496170968,23.0,0.0,0.0,5.903161085291726,0.0,23,23,0.0
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,0.25,64,32,1000,3526.5826910035685,227.998,128.3865222486188,0.5631037212985149,15.46760362373165,16483.099095095095,66,599,23.896
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,0.5,64,32,1000,3389.8087580455467,322.16,86.3401819955635,0.26800404145630585,10.52212800485953,7454.627027027027,122,576,31.695
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,0.75,64,32,1000,4216.035678051412,470.777,78.36457284562508,0.16645794685302187,8.95548354752125,6141.006277277278,228,716,51.638
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,1.0,64,32,1000,3803.8429559674114,424.472,78.78043902881967,0.185596315019176,8.96135188179058,6206.357573573574,149,646,47.798
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,1.25,64,32,1000,4322.522065020166,443.097,88.9820509788148,0.20081844602607285,9.755250125864464,7917.805396396397,152,734,48.932
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,1.5,64,32,1000,4511.658421019092,454.662,99.16745403578706,0.2181124748401825,9.923104242314274,9834.18393993994,157,766,49.45
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,2.0,64,32,1000,4989.039656007662,462.977,112.4162794745089,0.24281180161111438,10.775998928689033,12637.41989089089,158,847,49.509
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,2.5,64,32,1000,5107.320600072853,463.317,118.805948354299,0.2564247553064079,11.023382694942887,14114.853364364364,163,867,49.797
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,3.0,64,32,1000,5043.617254937999,460.62,124.48210069481232,0.270249013709375,10.94962714371499,15495.793393393393,163,856,49.747
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,4.0,64,32,1000,5309.485087054782,445.762,126.71789447738145,0.28427253663924124,11.911031193898944,16057.424780780779,156,901,48.239
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,0.0,64,32,1000,183.96392499562353,23.0,0.0,0.0,7.9984315215488495,0.0,23,23,0.0
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,0.25,64,32,1000,2217.644635005854,227.979,128.29338935717908,0.5627421357106535,9.727407502471078,16459.19375275275,66,597,23.934
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,0.5,64,32,1000,2904.2065909598023,322.189,86.36995454466818,0.2680723256991026,9.013984310326554,7459.769048048048,124,578,31.708
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,0.75,64,32,1000,4006.3403010135517,470.704,78.27374504368092,0.16629080068085444,8.511379340336074,6126.779163163163,227,709,51.529
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,1.0,64,32,1000,3666.399969952181,424.352,78.65088720451955,0.18534350540240072,8.639996912827513,6185.962058058058,154,647,47.751
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,1.25,64,32,1000,3870.296931010671,443.175,88.8308577933158,0.20044194233274845,8.733112046055556,7890.921296296296,152,728,49.01
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,1.5,64,32,1000,3998.022880987264,454.695,99.27968790961941,0.21834347839677018,8.792757520947589,9856.45643143143,156,766,49.535
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,2.0,64,32,1000,4031.3399099977687,463.12,112.68199870801384,0.243310586258451,8.704741557258957,12697.232832832833,158,847,49.578
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,2.5,64,32,1000,3998.793471022509,463.317,119.1476843320158,0.2571623409717662,8.630793756806915,14196.170681681682,162,865,49.798
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,3.0,64,32,1000,4055.8003089390695,460.876,124.26359106377082,0.26962478207537566,8.800198554359675,15441.440064064063,163,849,50.037
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba,modax rodas5P numba,4.0,64,32,1000,3934.238226036541,445.97,126.62099342516618,0.28392267063965326,8.82175533340032,16032.875975975976,154,900,48.359
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P numba (sorted),modax rodas5P numba (sorted),0.0,64,32,1000,184.06491400673985,23.0,0.0,0.0,8.002822348119125,0.0,23,23,0.0
