solver_key,solver,dim,solve_time_ms
modax kencarp5 array fp64,modax kencarp5 array fp64,4,42.31104301288724
modax kencarp5 array fp64,modax kencarp5 array fp64,8,64.81212901417166
modax kencarp5 array fp64,modax kencarp5 array fp64,12,61.48798600770533
modax kencarp5 array fp64,modax kencarp5 array fp64,16,73.24962504208088
modax kencarp5 array fp64,modax kencarp5 array fp64,24,124.63436101097614
modax kencarp5 array fp64,modax kencarp5 array fp64,32,192.31391395442188
modax kencarp5 array fp64,modax kencarp5 array fp64,48,308.464267058298
modax kencarp5 array fp64,modax kencarp5 array fp64,64,423.23653399944305
modax kencarp5 array fp64,modax kencarp5 array fp64,128,1066.1476810928434
modax kencarp5 array fp32,modax kencarp5 array fp32,4,42.98041807487607
modax kencarp5 array fp32,modax kencarp5 array fp32,8,54.831056972034276
modax kencarp5 array fp32,modax kencarp5 array fp32,12,50.93242600560188
modax kencarp5 array fp32,modax kencarp5 array fp32,16,59.87714999355376
modax kencarp5 array fp32,modax kencarp5 array fp32,24,58.81752597633749
modax kencarp5 array fp32,modax kencarp5 array fp32,32,94.70673894975334
modax kencarp5 array fp32,modax kencarp5 array fp32,48,135.19314001314342
modax kencarp5 array fp32,modax kencarp5 array fp32,64,167.54119109828025
modax kencarp5 array fp32,modax kencarp5 array fp32,128,395.1351420255378
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,4,7.117929984815419
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,8,7.524118991568685
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,12,10.540086077526212
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,16,12.511241948232055
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,24,26.149431942030787
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,32,37.637336063198745
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,48,114.83534192666411
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,64,266.7319989996031
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,128,
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,4,6.932009942829609
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,8,5.744991009123623
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,12,7.859179051592946
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,16,8.287757984362543
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,24,15.884266002103686
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,32,27.715099044144154
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,48,81.51438599452376
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,64,163.35461498238146
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,128,
modax rodas5P array fp32,modax rodas5P array fp32,4,9.229085058905184
modax rodas5P array fp32,modax rodas5P array fp32,8,15.476757078431547
modax rodas5P array fp32,modax rodas5P array fp32,12,17.709641018882394
modax rodas5P array fp32,modax rodas5P array fp32,16,30.41759505867958
modax rodas5P array fp32,modax rodas5P array fp32,24,51.49422702379525
modax rodas5P array fp32,modax rodas5P array fp32,32,74.88095096778125
modax rodas5P array fp32,modax rodas5P array fp32,48,158.3497190149501
modax rodas5P array fp32,modax rodas5P array fp32,64,185.56200398597866
modax rodas5P array fp32,modax rodas5P array fp32,128,243.99301095400006
modax rodas5P kernel fp32,modax rodas5P kernel fp32,4,2.7850240003317595
modax rodas5P kernel fp32,modax rodas5P kernel fp32,8,2.960562997031957
modax rodas5P kernel fp32,modax rodas5P kernel fp32,12,4.130235989578068
modax rodas5P kernel fp32,modax rodas5P kernel fp32,16,5.97950496012345
modax rodas5P kernel fp32,modax rodas5P kernel fp32,24,9.778934007044882
modax rodas5P kernel fp32,modax rodas5P kernel fp32,32,19.336629018653184
modax rodas5P kernel fp32,modax rodas5P kernel fp32,48,44.24678802024573
modax rodas5P kernel fp32,modax rodas5P kernel fp32,64,95.97531001782045
modax rodas5P kernel fp32,modax rodas5P kernel fp32,128,
diffrax kencarp5,diffrax kencarp5,4,46.07636807486415
diffrax kencarp5,diffrax kencarp5,8,65.23318029940128
diffrax kencarp5,diffrax kencarp5,12,59.84588526189327
diffrax kencarp5,diffrax kencarp5,16,64.45452710613608
diffrax kencarp5,diffrax kencarp5,24,109.00406586006284
diffrax kencarp5,diffrax kencarp5,32,123.18725092336535
diffrax kencarp5,diffrax kencarp5,48,212.80704904347658
diffrax kencarp5,diffrax kencarp5,64,316.95240223780274
diffrax kencarp5,diffrax kencarp5,128,941.9063460081816
julia kencarp5 array,julia kencarp5 array,4,31.158806000000002
julia kencarp5 array,julia kencarp5 array,8,44.231173999999996
julia kencarp5 array,julia kencarp5 array,12,58.166648
julia kencarp5 array,julia kencarp5 array,16,87.917586
julia kencarp5 array,julia kencarp5 array,24,141.921304
julia kencarp5 array,julia kencarp5 array,32,215.616545
julia kencarp5 array,julia kencarp5 array,48,475.379504
julia kencarp5 array,julia kencarp5 array,64,720.3511729999999
julia kencarp5 array,julia kencarp5 array,128,
