solver_key,solver,dim,solve_time_ms
modax kencarp5 array fp64,modax kencarp5 array fp64,4,8.01851600408554
modax kencarp5 array fp64,modax kencarp5 array fp64,8,11.59717992413789
modax kencarp5 array fp64,modax kencarp5 array fp64,12,13.011106988415122
modax kencarp5 array fp64,modax kencarp5 array fp64,16,16.023792093619704
modax kencarp5 array fp64,modax kencarp5 array fp64,24,34.22114998102188
modax kencarp5 array fp64,modax kencarp5 array fp64,32,46.78422806318849
modax kencarp5 array fp64,modax kencarp5 array fp64,48,71.76634308416396
modax kencarp5 array fp64,modax kencarp5 array fp64,64,95.74078093282878
modax kencarp5 array fp64,modax kencarp5 array fp64,128,198.22805502917618
modax kencarp5 array fp32,modax kencarp5 array fp32,4,8.18198500201106
modax kencarp5 array fp32,modax kencarp5 array fp32,8,10.265792021527886
modax kencarp5 array fp32,modax kencarp5 array fp32,12,10.500960983335972
modax kencarp5 array fp32,modax kencarp5 array fp32,16,13.14742595423013
modax kencarp5 array fp32,modax kencarp5 array fp32,24,14.875182998366654
modax kencarp5 array fp32,modax kencarp5 array fp32,32,22.405850002542138
modax kencarp5 array fp32,modax kencarp5 array fp32,48,30.881933984346688
modax kencarp5 array fp32,modax kencarp5 array fp32,64,41.01241601165384
modax kencarp5 array fp32,modax kencarp5 array fp32,128,82.05313002690673
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,4,2.011606004089117
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,8,1.994576072320342
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,12,3.115833969786763
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,16,5.2147009409964085
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,24,9.399530943483114
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,32,12.43545999750495
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,48,35.84918600972742
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,64,77.68499699886888
modax kencarp5 kernel fp64,modax kencarp5 kernel fp64,128,
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,4,1.8866859609261155
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,8,1.6072470461949706
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,12,2.76971491985023
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,16,2.903213957324624
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,24,5.6024199584499
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,32,10.298083070665598
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,48,23.996453965082765
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,64,44.349882984533906
modax kencarp5 kernel fp32,modax kencarp5 kernel fp32,128,
modax rodas5P array fp32,modax rodas5P array fp32,4,2.7861949056386948
modax rodas5P array fp32,modax rodas5P array fp32,8,4.170401953160763
modax rodas5P array fp32,modax rodas5P array fp32,12,4.736381000839174
modax rodas5P array fp32,modax rodas5P array fp32,16,7.86086602602154
modax rodas5P array fp32,modax rodas5P array fp32,24,13.510574004612863
modax rodas5P array fp32,modax rodas5P array fp32,32,18.93738505896181
modax rodas5P array fp32,modax rodas5P array fp32,48,41.38886299915612
modax rodas5P array fp32,modax rodas5P array fp32,64,48.079319996759295
modax rodas5P array fp32,modax rodas5P array fp32,128,58.06561198551208
modax rodas5P kernel fp32,modax rodas5P kernel fp32,4,1.717636943794787
modax rodas5P kernel fp32,modax rodas5P kernel fp32,8,1.3689270708709955
modax rodas5P kernel fp32,modax rodas5P kernel fp32,12,1.6474269796162844
modax rodas5P kernel fp32,modax rodas5P kernel fp32,16,2.698624972254038
modax rodas5P kernel fp32,modax rodas5P kernel fp32,24,4.056663019582629
modax rodas5P kernel fp32,modax rodas5P kernel fp32,32,6.78182695992291
modax rodas5P kernel fp32,modax rodas5P kernel fp32,48,13.999684015288949
modax rodas5P kernel fp32,modax rodas5P kernel fp32,64,32.68538310658187
modax rodas5P kernel fp32,modax rodas5P kernel fp32,128,
diffrax kencarp5,diffrax kencarp5,4,9.25407512113452
diffrax kencarp5,diffrax kencarp5,8,11.610319837927818
diffrax kencarp5,diffrax kencarp5,12,13.307507149875164
diffrax kencarp5,diffrax kencarp5,16,14.125884976238012
diffrax kencarp5,diffrax kencarp5,24,31.890500336885452
diffrax kencarp5,diffrax kencarp5,32,42.68967593088746
diffrax kencarp5,diffrax kencarp5,48,66.79342407733202
diffrax kencarp5,diffrax kencarp5,64,103.07923704385757
diffrax kencarp5,diffrax kencarp5,128,275.40905494242907
julia kencarp5 array,julia kencarp5 array,4,13.691014
julia kencarp5 array,julia kencarp5 array,8,18.111953
julia kencarp5 array,julia kencarp5 array,12,27.557192
julia kencarp5 array,julia kencarp5 array,16,38.466062
julia kencarp5 array,julia kencarp5 array,24,62.391987
julia kencarp5 array,julia kencarp5 array,32,92.118345
julia kencarp5 array,julia kencarp5 array,48,210.880068
julia kencarp5 array,julia kencarp5 array,64,270.80069000000003
julia kencarp5 array,julia kencarp5 array,128,896.3263049999999
