solver_key,solver,ensemble_size,solve_time_ms
modax tsit5 array,modax tsit5 array,3,25.998212047852576
modax tsit5 array,modax tsit5 array,10,42.56881296169013
modax tsit5 array,modax tsit5 array,30,46.282091992907226
modax tsit5 array,modax tsit5 array,100,49.19607297051698
modax tsit5 array,modax tsit5 array,300,48.983954009599984
modax tsit5 array,modax tsit5 array,1000,55.20012497436255
modax tsit5 array,modax tsit5 array,3000,68.97107395343482
modax tsit5 array,modax tsit5 array,10000,125.67055504769087
modax tsit5 array,modax tsit5 array,30000,291.95883800275624
modax tsit5 array,modax tsit5 array,100000,869.9149009771645
modax tsit5 kernel,modax tsit5 kernel,3,3.19911097176373
modax tsit5 kernel,modax tsit5 kernel,10,3.5962590482085943
modax tsit5 kernel,modax tsit5 kernel,30,3.77427798230201
modax tsit5 kernel,modax tsit5 kernel,100,3.759798943065107
modax tsit5 kernel,modax tsit5 kernel,300,4.098718054592609
modax tsit5 kernel,modax tsit5 kernel,1000,4.351636976934969
modax tsit5 kernel,modax tsit5 kernel,3000,4.620015970431268
modax tsit5 kernel,modax tsit5 kernel,10000,10.24524006061256
modax tsit5 kernel,modax tsit5 kernel,30000,34.028218942694366
modax tsit5 kernel,modax tsit5 kernel,100000,84.12008499726653
diffrax tsit5,diffrax tsit5,3,77.4698390159756
diffrax tsit5,diffrax tsit5,10,78.17047694697976
diffrax tsit5,diffrax tsit5,30,86.25567599665374
diffrax tsit5,diffrax tsit5,100,98.94087305292487
diffrax tsit5,diffrax tsit5,300,105.95597396604717
diffrax tsit5,diffrax tsit5,1000,109.69033499713987
diffrax tsit5,diffrax tsit5,3000,131.87320798169822
diffrax tsit5,diffrax tsit5,10000,142.19107991084456
diffrax tsit5,diffrax tsit5,30000,213.18086609244347
diffrax tsit5,diffrax tsit5,100000,514.2776729771867
julia tsit5 array,julia tsit5 array,3,70.553189
julia tsit5 array,julia tsit5 array,10,68.759027
julia tsit5 array,julia tsit5 array,30,70.640742
julia tsit5 array,julia tsit5 array,100,70.722768
julia tsit5 array,julia tsit5 array,300,77.859813
julia tsit5 array,julia tsit5 array,1000,82.916568
julia tsit5 array,julia tsit5 array,3000,128.694917
julia tsit5 array,julia tsit5 array,10000,271.63915
julia tsit5 array,julia tsit5 array,30000,2055.993939
julia tsit5 array,julia tsit5 array,100000,
julia tsit5 kernel,julia tsit5 kernel,3,5.363678
julia tsit5 kernel,julia tsit5 kernel,10,5.381241
julia tsit5 kernel,julia tsit5 kernel,30,5.360244
julia tsit5 kernel,julia tsit5 kernel,100,6.573067999999999
julia tsit5 kernel,julia tsit5 kernel,300,7.305385
julia tsit5 kernel,julia tsit5 kernel,1000,8.341413000000001
julia tsit5 kernel,julia tsit5 kernel,3000,13.605573
julia tsit5 kernel,julia tsit5 kernel,10000,38.733963
julia tsit5 kernel,julia tsit5 kernel,30000,133.198283
julia tsit5 kernel,julia tsit5 kernel,100000,365.25614099999996
