solver_key,solver,ensemble_size,solve_time_ms
modax tsit5 array,modax tsit5 array,3,46.72274098265916
modax tsit5 array,modax tsit5 array,10,48.37086494080722
modax tsit5 array,modax tsit5 array,30,49.10123406443745
modax tsit5 array,modax tsit5 array,100,49.31306291837245
modax tsit5 array,modax tsit5 array,300,49.09364297054708
modax tsit5 array,modax tsit5 array,1000,55.14230497647077
modax tsit5 array,modax tsit5 array,3000,68.74213507398963
modax tsit5 array,modax tsit5 array,10000,123.11729206703603
modax tsit5 array,modax tsit5 array,30000,289.9993839673698
modax tsit5 array,modax tsit5 array,100000,860.2122109150514
modax tsit5 kernel,modax tsit5 kernel,3,4.255976993590593
modax tsit5 kernel,modax tsit5 kernel,10,4.394256975501776
modax tsit5 kernel,modax tsit5 kernel,30,4.018598003312945
modax tsit5 kernel,modax tsit5 kernel,100,4.069397924467921
modax tsit5 kernel,modax tsit5 kernel,300,4.108026972971857
modax tsit5 kernel,modax tsit5 kernel,1000,4.3967668898403645
modax tsit5 kernel,modax tsit5 kernel,3000,4.699015989899635
modax tsit5 kernel,modax tsit5 kernel,10000,10.094398981891572
modax tsit5 kernel,modax tsit5 kernel,30000,34.608048968948424
modax tsit5 kernel,modax tsit5 kernel,100000,94.6903070434928
diffrax tsit5,diffrax tsit5,3,78.17204704042524
diffrax tsit5,diffrax tsit5,10,113.02270705346018
diffrax tsit5,diffrax tsit5,30,85.98132606130093
diffrax tsit5,diffrax tsit5,100,100.59134801849723
diffrax tsit5,diffrax tsit5,300,136.06421696022153
diffrax tsit5,diffrax tsit5,1000,128.7986550014466
diffrax tsit5,diffrax tsit5,3000,132.4390759691596
diffrax tsit5,diffrax tsit5,10000,151.47944597993046
diffrax tsit5,diffrax tsit5,30000,213.10711605474353
diffrax tsit5,diffrax tsit5,100000,514.1558629693463
julia tsit5 array,julia tsit5 array,3,70.600471
julia tsit5 array,julia tsit5 array,10,70.412896
julia tsit5 array,julia tsit5 array,30,69.225095
julia tsit5 array,julia tsit5 array,100,70.254688
julia tsit5 array,julia tsit5 array,300,77.96136
julia tsit5 array,julia tsit5 array,1000,83.30483299999999
julia tsit5 array,julia tsit5 array,3000,126.633447
julia tsit5 array,julia tsit5 array,10000,263.45122
julia tsit5 array,julia tsit5 array,30000,2047.69207
julia tsit5 array,julia tsit5 array,100000,
julia tsit5 kernel,julia tsit5 kernel,3,5.343234
julia tsit5 kernel,julia tsit5 kernel,10,5.351731999999999
julia tsit5 kernel,julia tsit5 kernel,30,5.357991
julia tsit5 kernel,julia tsit5 kernel,100,6.564853
julia tsit5 kernel,julia tsit5 kernel,300,5.607128
julia tsit5 kernel,julia tsit5 kernel,1000,6.767715
julia tsit5 kernel,julia tsit5 kernel,3000,11.263413
julia tsit5 kernel,julia tsit5 kernel,10000,33.183312
julia tsit5 kernel,julia tsit5 kernel,30000,113.277916
julia tsit5 kernel,julia tsit5 kernel,100000,321.617335
