gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.0,3,100000,860.618090024218,746.0,0.0,0.0,1.1536435523112842,0.0,746,746,129.0
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.1,3,100000,869.4776829797775,715.35806,17.587027209612792,0.024584929132709838,1.2154440294973086,309.3035260716607,682,750,120.96757
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.2,3,100000,869.8258820222691,684.12272,36.439110004073626,0.05326399626674236,1.2714471491639237,1327.8087378889788,603,750,114.77181
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.3,3,100000,870.0679111061618,653.61709,53.422760410195934,0.08173403239838166,1.3311584479930931,2853.9913298451984,548,750,109.1042
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.4,3,100000,870.7021389855072,622.0406,72.20865109204662,0.11608350177150273,1.399751300776038,5214.089292532925,479,750,102.88749
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.5,3,100000,870.6779989879578,591.09781,89.7708999138842,0.15187148115788857,1.472984646970622,8058.814471348614,433,750,97.32137
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.6,3,100000,870.8636490628123,559.1125,108.99774497132539,0.19494778773739704,1.5575821486066086,11880.508408834088,350,750,91.22413
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.7,3,100000,871.3505369378254,527.02731,128.03144115670628,0.24293132201575335,1.6533309003243595,16392.049924663144,297,750,85.3274
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.8,3,100000,871.2601179722697,494.234,147.99487798177034,0.2994429318536773,1.7628494154029664,21902.483908839095,222,750,79.27319
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,0.9,3,100000,872.088025091216,460.78384,168.69419620180395,0.3661026745247922,1.8926185108644782,28457.731832172725,153,750,73.20865
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 array,modax tsit5 array,1.0,3,100000,872.7312739938498,425.57705,191.87256008635168,0.4508526953846588,2.050700981159228,36815.07931409064,35,750,66.95017
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.0,3,100000,81.45832607988268,722.0,0.0,0.0,0.11282316631562699,0.0,722,722,104.0
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.1,3,100000,83.08253204450011,699.81274,17.63138344966791,0.02519443051246525,0.11872109108002252,310.8656823492235,664,735,102.78706
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.2,3,100000,83.08207197114825,668.319,35.92179899109213,0.05374948039946812,0.12431499324596226,1290.3756427564276,590,735,96.46903
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.3,3,100000,82.9632420791313,637.3984,53.71803676340692,0.08427701852311979,0.1301591627452019,2885.6274737147373,536,735,90.67598
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.4,3,100000,82.79732195660472,606.7473,71.1390447668993,0.1172465782161689,0.13646096481451953,5060.763690346904,470,735,85.42425
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.5,3,100000,82.75166293606162,576.19952,88.50521523334562,0.15360168164205626,0.14361633438372462,7833.173123500835,427,735,80.38524
NVIDIA GeForce RTX 4070 SUPER,modax tsit5 kernel,modax tsit5 kernel,0.6,3,100000,82.5640830444172,545.05265,106.98492536670788,0.1962836532703912,0.1514790966421633,11445.774255720056,342,735,75.19692
