gpu,case_key,batch_size,solve_time_ms,total_lane_iterations,wasted_lane_iterations,min_batch_loop_iterations,max_batch_loop_iterations,wasted_lane_iteration_ratio
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,5000,2320.58705505915,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,10000,1622.3038469906896,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,25000,1026.1559840291739,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,50000,793.0939759826288,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,100000,825.9549459908158,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,200000,750.352617003955,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_identical_random,400000,909.83628295362,284800000,0,712,712,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,5000,2360.631027026102,289615000,124533182,723,725,0.42999562177373407
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,10000,1653.0757199507207,289700000,124618182,723,725,0.43016286503279255
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,25000,1044.577079010196,289850000,124768182,724,725,0.43045776091081595
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,50000,810.7121989596635,289950000,124868182,724,725,0.4306541886532161
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,100000,848.057976923883,290000000,124918182,725,725,0.43075235172413795
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,200000,769.51716595795,290000000,124918182,725,725,0.43075235172413795
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,400000,939.1781811136752,290000000,124918182,725,725,0.43075235172413795
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,5000,1364.9401230504736,166795000,1713182,72,725,0.010271183188944513
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,10000,964.0899000223726,168460000,3378182,86,725,0.020053318295144246
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,25000,627.3366500390694,173625000,8543182,123,725,0.04920479193664507
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,50000,507.9475309466943,181850000,16768182,171,725,0.09220886444872148
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,100000,576.5121040167287,197600000,32518182,259,725,0.1645656983805668
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,200000,607.6390509260818,229400000,64318182,422,725,0.2803756843940715
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,400000,933.1906859297305,290000000,124918182,725,725,0.43075235172413795
