gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.0,3,1000,22.56851098500192,134.0,0.0,0.0,0.16842172376867107,0.0,134,134,3.0
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.1,3,1000,21.507443813607097,129.806,3.11320671592107,0.02398353478206762,0.16568913465946947,9.692056056056053,125,136,3.003
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.2,3,1000,21.231867792084813,126.175,4.440956777215592,0.03519680425770234,0.16827317449641224,19.722097097097098,119,135,3.031
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.3,3,1000,21.294250013306737,123.266,5.644209519596265,0.045788859211755586,0.17275039356600147,31.8571011011011,114,136,3.044
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.4,3,1000,20.24819441139698,120.581,6.866482912495129,0.056944982314752146,0.16792193141039616,47.148587587587585,108,135,3.048
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.5,3,1000,20.16013842076063,117.905,8.137825213114324,0.06902018755026779,0.17098628913753133,66.22419919919919,104,135,3.04
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.6,3,1000,20.379178412258625,115.353,9.4197198536964,0.08165994689081689,0.17666795325876766,88.73112212212213,98,136,3.047
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.7,3,1000,20.62488216906786,112.915,10.780166371025402,0.09547151725656823,0.1826584791132078,116.21198698698699,94,137,3.039
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.8,3,1000,20.438264217227697,110.466,12.028529815797503,0.10888897774697648,0.1850185959229781,144.6855295295295,89,136,3.046
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.9,3,1000,20.459196204319596,107.894,13.545414066843517,0.1255437194546825,0.18962311346617602,183.4782422422422,81,136,3.041
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,1.0,3,1000,20.38971441797912,104.826,16.015124358187425,0.1527781691392157,0.1945100873636228,256.4842082082082,69,135,3.067
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,1.25,3,1000,20.72153016924858,105.494,14.721300237434216,0.13954632716016283,0.19642377925994445,216.7166806806807,69,138,4.439
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,1.5,3,1000,20.404884172603488,104.426,13.61836935847989,0.1304116729404544,0.19540041917341933,185.459983983984,68,135,4.604
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,2.0,3,1000,20.655226008966565,101.901,12.95117492476771,0.1270956607370655,0.2026989529932637,167.7329319319319,69,136,4.445
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,3.0,3,1000,20.374374417588115,97.632,12.402757935411156,0.12703578678518473,0.208685414798305,153.8284044044044,68,135,4.176
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,4.0,3,1000,20.861535985022783,94.138,12.950933660654844,0.13757391978430436,0.22160589756551852,167.72668268268268,68,138,3.87
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,6.0,3,1000,20.757322013378143,89.076,14.227883070107676,0.15972745823911802,0.23302934587743213,202.43265665665666,61,138,3.619
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,8.0,3,1000,22.850492782890797,85.886,16.397313068788918,0.19091951038340263,0.26605608344655474,268.87187587587584,56,151,3.569
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.0,3,1000,4.126513423398137,134.0,0.0,0.0,0.03079487629401595,0.0,134,134,3.0
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.1,3,1000,4.105813428759575,129.797,3.1313889245184154,0.02412527966377047,0.031632575704828116,9.805596596596597,125,136,3.002
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.2,3,1000,4.144553421065211,126.181,4.4822237036240535,0.035522176109113526,0.032846097439909426,20.09032932932933,119,137,3.03
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.3,3,1000,4.092733608558774,123.236,5.642352358736571,0.04578493588510314,0.03321053595182231,31.83614014014014,114,135,3.045
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.4,3,1000,4.0817194152623415,120.573,6.862927274186341,0.05691927109872311,0.033852681904425884,47.09977077077077,109,138,3.045
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.5,3,1000,3.658655844628811,117.883,8.14245728331507,0.0690723622856143,0.031036331316888873,66.29961061061061,104,135,3.042
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.6,3,1000,3.6037517711520195,115.315,9.418943225834388,0.08168012163061517,0.031251370343424706,88.7164914914915,99,136,3.045
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.7,3,1000,3.595347795635462,112.884,10.74103877257288,0.09515111771883421,0.03184993263558575,115.36991391391392,94,136,3.04
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.8,3,1000,3.594217775389552,110.461,12.016858320038724,0.10878824490126582,0.03253834181647416,144.40488388388388,89,136,3.056
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.9,3,1000,3.6405678372830153,107.855,13.527045352032939,0.125418806286523,0.03375427970222072,182.98095595595595,81,136,3.041
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,1.0,3,1000,3.5996098071336746,104.799,16.00852497489609,0.152754558487162,0.0343477495694966,256.27287187187187,69,135,3.064
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,1.25,3,1000,3.6301556043326855,105.467,14.742260520193136,0.13978078944307828,0.034419824251497484,217.33424524524523,69,135,4.437
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,1.5,3,1000,3.5725418012589216,104.434,13.637214437619495,0.13058213261600143,0.03420860831969399,185.97361761761758,68,136,4.633
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,2.0,3,1000,3.6160857882350683,101.876,12.939476575737292,0.12701202025734512,0.035494972203807255,167.43005405405407,69,136,4.445
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,3.0,3,1000,3.5985497757792473,97.637,12.43438156262083,0.1273531710583163,0.03685641484047285,154.61384484484483,68,135,4.193
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,4.0,3,1000,3.6576895974576473,94.12,12.967642798896017,0.13777776029426284,0.03886198042347691,168.15975975975974,68,138,3.895
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,6.0,3,1000,3.581365803256631,89.108,14.217048233035593,0.15954850555545622,0.040191293747549386,202.12446046046048,61,136,3.626
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,8.0,3,1000,3.7179595790803432,85.903,16.413744301712576,0.19107300445517125,0.043280904963509344,269.411002002002,56,147,3.564
