solver_key,solver,dim,solve_time_ms
modax tsit5 array,modax tsit5 array,2,3.6702350480481982
modax tsit5 array,modax tsit5 array,4,4.829526995308697
modax tsit5 array,modax tsit5 array,6,4.773747059516609
modax tsit5 array,modax tsit5 array,8,5.396738066338003
modax tsit5 array,modax tsit5 array,10,5.600237986072898
modax tsit5 array,modax tsit5 array,12,5.793249001726508
modax tsit5 array,modax tsit5 array,16,6.902270019054413
modax tsit5 array,modax tsit5 array,32,12.070658034645021
modax tsit5 array,modax tsit5 array,64,19.682058016769588
modax tsit5 array,modax tsit5 array,128,34.11649796180427
modax tsit5 kernel,modax tsit5 kernel,2,0.20891998428851366
modax tsit5 kernel,modax tsit5 kernel,4,0.33399101812392473
modax tsit5 kernel,modax tsit5 kernel,6,0.40326989255845547
modax tsit5 kernel,modax tsit5 kernel,8,0.49005006439983845
modax tsit5 kernel,modax tsit5 kernel,10,0.5721410270780325
modax tsit5 kernel,modax tsit5 kernel,12,0.7026909152045846
modax tsit5 kernel,modax tsit5 kernel,16,0.991082051768899
modax tsit5 kernel,modax tsit5 kernel,32,5.34296699333936
modax tsit5 kernel,modax tsit5 kernel,64,10.362983914092183
modax tsit5 kernel,modax tsit5 kernel,128,20.12067404575646
diffrax tsit5,diffrax tsit5,2,7.808399037458003
diffrax tsit5,diffrax tsit5,4,10.20231400616467
diffrax tsit5,diffrax tsit5,6,11.627550004050136
diffrax tsit5,diffrax tsit5,8,13.82615405600518
diffrax tsit5,diffrax tsit5,10,15.920857898890972
diffrax tsit5,diffrax tsit5,12,9.638165007345378
diffrax tsit5,diffrax tsit5,16,11.336651048623025
diffrax tsit5,diffrax tsit5,32,15.049870940856636
diffrax tsit5,diffrax tsit5,64,22.00640202499926
diffrax tsit5,diffrax tsit5,128,33.03607495035976
julia tsit5 array,julia tsit5 array,2,10.972069
julia tsit5 array,julia tsit5 array,4,12.36339
julia tsit5 array,julia tsit5 array,6,13.343753
julia tsit5 array,julia tsit5 array,8,15.451164
julia tsit5 array,julia tsit5 array,10,16.244255
julia tsit5 array,julia tsit5 array,12,18.119461
julia tsit5 array,julia tsit5 array,16,26.873654000000002
julia tsit5 array,julia tsit5 array,32,47.144711
julia tsit5 array,julia tsit5 array,64,77.039998
julia tsit5 array,julia tsit5 array,128,110.655055
julia tsit5 kernel,julia tsit5 kernel,2,4.065061
julia tsit5 kernel,julia tsit5 kernel,4,3.778577
julia tsit5 kernel,julia tsit5 kernel,6,3.878228
julia tsit5 kernel,julia tsit5 kernel,8,4.515426000000001
julia tsit5 kernel,julia tsit5 kernel,10,5.052834
julia tsit5 kernel,julia tsit5 kernel,12,4.722329
julia tsit5 kernel,julia tsit5 kernel,16,5.640132
julia tsit5 kernel,julia tsit5 kernel,32,12.108065
julia tsit5 kernel,julia tsit5 kernel,64,18.660268000000002
julia tsit5 kernel,julia tsit5 kernel,128,
