solver_key,solver,ensemble_size,solve_time_ms
modax rodas5P array fp32,modax rodas5P array fp32,1,23.865127004683018
modax rodas5P array fp32,modax rodas5P array fp32,3,23.938657017424703
modax rodas5P array fp32,modax rodas5P array fp32,10,23.392934002913535
modax rodas5P array fp32,modax rodas5P array fp32,30,24.790381081402302
modax rodas5P array fp32,modax rodas5P array fp32,100,25.707934983074665
modax rodas5P array fp32,modax rodas5P array fp32,300,25.911445962265134
modax rodas5P array fp32,modax rodas5P array fp32,1000,26.586628053337336
modax rodas5P array fp32,modax rodas5P array fp32,3000,30.456086969934404
modax rodas5P array fp32,modax rodas5P array fp32,10000,41.885641985572875
modax rodas5P array fp32,modax rodas5P array fp32,30000,87.24437898490578
modax rodas5P array fp32,modax rodas5P array fp32,100000,198.70886905118823
modax rodas5P array fp64,modax rodas5P array fp64,1,23.349910974502563
modax rodas5P array fp64,modax rodas5P array fp64,3,23.3060410246253
modax rodas5P array fp64,modax rodas5P array fp64,10,24.361705989576876
modax rodas5P array fp64,modax rodas5P array fp64,30,25.682260980829597
modax rodas5P array fp64,modax rodas5P array fp64,100,26.491526048630476
modax rodas5P array fp64,modax rodas5P array fp64,300,26.699415990151465
modax rodas5P array fp64,modax rodas5P array fp64,1000,26.887997053563595
modax rodas5P array fp64,modax rodas5P array fp64,3000,32.63257397338748
modax rodas5P array fp64,modax rodas5P array fp64,10000,53.613019990734756
modax rodas5P array fp64,modax rodas5P array fp64,30000,116.21037195436656
modax rodas5P array fp64,modax rodas5P array fp64,100000,293.02465997170657
modax rodas5P kernel fp32,modax rodas5P kernel fp32,1,5.16528298612684
modax rodas5P kernel fp32,modax rodas5P kernel fp32,3,4.932023002766073
modax rodas5P kernel fp32,modax rodas5P kernel fp32,10,5.268201988656074
modax rodas5P kernel fp32,modax rodas5P kernel fp32,30,5.32818102510646
modax rodas5P kernel fp32,modax rodas5P kernel fp32,100,5.14093303354457
modax rodas5P kernel fp32,modax rodas5P kernel fp32,300,5.244212981779128
modax rodas5P kernel fp32,modax rodas5P kernel fp32,1000,5.236611992586404
modax rodas5P kernel fp32,modax rodas5P kernel fp32,3000,5.095643049571663
modax rodas5P kernel fp32,modax rodas5P kernel fp32,10000,5.872228997759521
modax rodas5P kernel fp32,modax rodas5P kernel fp32,30000,16.491833026520908
modax rodas5P kernel fp32,modax rodas5P kernel fp32,100000,42.59393602842465
modax rodas5P kernel fp64,modax rodas5P kernel fp64,1,5.5184519733302295
modax rodas5P kernel fp64,modax rodas5P kernel fp64,3,5.463261040858924
modax rodas5P kernel fp64,modax rodas5P kernel fp64,10,5.304880964104086
modax rodas5P kernel fp64,modax rodas5P kernel fp64,30,5.636080983094871
modax rodas5P kernel fp64,modax rodas5P kernel fp64,100,5.430242978036404
modax rodas5P kernel fp64,modax rodas5P kernel fp64,300,5.354352004360408
modax rodas5P kernel fp64,modax rodas5P kernel fp64,1000,5.393722036387771
modax rodas5P kernel fp64,modax rodas5P kernel fp64,3000,5.366072000470012
modax rodas5P kernel fp64,modax rodas5P kernel fp64,10000,6.4368179882876575
modax rodas5P kernel fp64,modax rodas5P kernel fp64,30000,18.209710018709302
modax rodas5P kernel fp64,modax rodas5P kernel fp64,100000,54.9981520161964
diffrax kvaerno5,diffrax kvaerno5,1,799.107642378658
diffrax kvaerno5,diffrax kvaerno5,3,845.7105699926615
diffrax kvaerno5,diffrax kvaerno5,10,851.3056240044534
diffrax kvaerno5,diffrax kvaerno5,30,877.9850131832063
diffrax kvaerno5,diffrax kvaerno5,100,916.8149051256478
diffrax kvaerno5,diffrax kvaerno5,300,919.0593799576163
diffrax kvaerno5,diffrax kvaerno5,1000,926.8239228986204
diffrax kvaerno5,diffrax kvaerno5,3000,978.0444311909378
diffrax kvaerno5,diffrax kvaerno5,10000,1206.6811067052186
diffrax kvaerno5,diffrax kvaerno5,30000,1944.3096318282187
diffrax kvaerno5,diffrax kvaerno5,100000,4431.085018906742
julia rodas5P array,julia rodas5P array,3,135.262246
julia rodas5P array,julia rodas5P array,10,143.349179
julia rodas5P array,julia rodas5P array,30,142.419611
julia rodas5P array,julia rodas5P array,100,143.312184
julia rodas5P array,julia rodas5P array,300,151.120789
julia rodas5P array,julia rodas5P array,1000,150.906174
julia rodas5P array,julia rodas5P array,3000,216.40230899999997
julia rodas5P array,julia rodas5P array,10000,365.751016
julia rodas5P array,julia rodas5P array,30000,
julia rodas5P array,julia rodas5P array,100000,
julia rodas5P kernel,julia rodas5P kernel,1,
julia rodas5P kernel,julia rodas5P kernel,3,4.77294
julia rodas5P kernel,julia rodas5P kernel,10,4.8221799999999995
julia rodas5P kernel,julia rodas5P kernel,30,4.785649
julia rodas5P kernel,julia rodas5P kernel,100,5.595048
julia rodas5P kernel,julia rodas5P kernel,300,5.150898
julia rodas5P kernel,julia rodas5P kernel,1000,6.448807
julia rodas5P kernel,julia rodas5P kernel,3000,10.973602000000001
julia rodas5P kernel,julia rodas5P kernel,10000,31.412886
julia rodas5P kernel,julia rodas5P kernel,30000,104.743269
julia rodas5P kernel,julia rodas5P kernel,100000,321.416002
