gpu,solver_key,solver,divergence,dim,n_osc,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.0,64,32,1000,487.409881898202,24.0,0.0,0.0,20.30874507909175,0.0,24,24,0.0
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.25,64,32,1000,1123.0990845011547,209.473,114.88141281343127,0.548430646495879,5.3615458054315095,13197.739010010011,64,546,20.031
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.5,64,32,1000,1087.6538146054372,294.221,76.66426526464966,0.26056693867755754,3.6967239408656662,5877.409568568569,117,518,23.89
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,0.75,64,32,1000,1229.481619806029,425.798,70.81156313395061,0.16630318398383884,2.887476267634016,5014.277473473474,203,637,37.267
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,1.0,64,32,1000,1182.9675898887217,386.623,71.23945487530719,0.1842607782654089,3.059744479476704,5075.05993093093,144,598,35.679
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,1.25,64,32,1000,1255.0968144088984,405.505,80.53432654932152,0.19860254879550565,3.095145101561999,6485.777752752752,148,655,37.873
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,1.5,64,32,1000,1320.220631081611,417.501,90.50594082337537,0.2167801773489773,3.1621975302612713,8191.325324324324,152,704,39.322
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,2.0,64,32,1000,1432.2229027980939,426.673,102.93243977560309,0.24124432475362417,3.356722602081908,10595.087158158156,151,794,40.612
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,2.5,64,32,1000,1438.8626547064632,426.754,108.10305154690943,0.2533146767151788,3.3716442135433136,11686.269753753755,153,799,40.802
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,3.0,64,32,1000,1407.459194608964,423.57,112.56254895580247,0.26574721759284764,3.322849103121005,12670.327427427428,159,785,40.159
NVIDIA GeForce RTX 4070 SUPER,rodas5_fp32_lu,JAX Rodas5 fp32 LU,4.0,64,32,1000,1475.156656303443,408.569,113.99771365127337,0.27901704155546153,3.6105447459387348,12995.478717717719,151,842,37.514
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.0,64,32,1000,45.53223731927574,24.0,0.0,0.0,1.8971765549698223,0.0,24,24,0.0
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.25,64,32,1000,451.93791270721704,209.514,114.91067081114036,0.5484629705467909,2.1570773919987065,13204.462266266266,64,549,20.037
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.5,64,32,1000,600.2317681210116,294.18,76.6530057028639,0.26056497961405906,2.040355456254713,5875.683283283284,117,513,23.869
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,0.75,64,32,1000,835.2876615012065,425.793,70.69531794241384,0.16603212815244459,1.9617223897556006,4997.827978978979,205,635,37.258
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,1.0,64,32,1000,765.8854437991977,386.575,71.30977112891652,0.1844655529429387,1.9812078996293028,5085.083458458457,141,598,35.634
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,1.25,64,32,1000,812.8144219983369,405.576,80.60662287710392,0.19874603743097202,2.0040989161053337,6497.427651651652,145,649,37.9
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,1.5,64,32,1000,837.8614505985752,417.42,90.5340268076595,0.21688952807162928,2.00723839441947,8196.41001001001,152,707,39.278
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,2.0,64,32,1000,848.3530926983804,426.607,102.91573348715539,0.24124248661450792,1.9886056550839069,10591.648199199199,157,797,40.544
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,2.5,64,32,1000,843.3052483946085,426.847,108.24426271822175,0.25359030921670234,1.9756616501805297,11716.82041141141,161,802,40.848
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,3.0,64,32,1000,845.7204690901563,423.669,112.57531096843411,0.26571524224910037,1.9961820881163272,12673.200639639641,159,783,40.24
NVIDIA GeForce RTX 4070 SUPER,rodas5ckn,numba-cuda Rodas5,4.0,64,32,1000,827.4965519085526,408.563,113.92437313320532,0.27884163062540007,2.025382993341425,12978.762793793794,152,839,37.549
