solver_key,solver,ensemble_size,solve_time_ms
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,1,20.351580809801817
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,3,19.550363067537546
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,10,19.783266820013523
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,30,20.70304099470377
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,100,21.739203017205
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,300,21.908797323703766
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,1000,22.149161901324987
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,3000,25.747249834239483
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,10000,35.61593173071742
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,30000,69.31408122181892
modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,100000,169.03162002563477
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,1,19.756062887609005
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,3,19.777692388743162
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,10,19.822031259536743
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,30,19.636568147689104
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,100,22.782488726079464
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,300,22.795539814978838
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,1000,23.416331969201565
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,3000,28.397402726113796
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,10000,45.3218393959105
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,30000,98.55491993948817
modax rodas5 jax fp64 lu,modax rodas5 jax fp64 lu,100000,248.24833823367953
modax rodas5 numba,modax rodas5 numba,1,3.9617400616407394
modax rodas5 numba,modax rodas5 numba,3,4.09914692863822
modax rodas5 numba,modax rodas5 numba,10,4.023249726742506
modax rodas5 numba,modax rodas5 numba,30,4.2865220457315445
modax rodas5 numba,modax rodas5 numba,100,4.368659108877182
modax rodas5 numba,modax rodas5 numba,300,4.287282004952431
modax rodas5 numba,modax rodas5 numba,1000,4.140345845371485
modax rodas5 numba,modax rodas5 numba,3000,4.247372969985008
modax rodas5 numba,modax rodas5 numba,10000,4.799267742782831
modax rodas5 numba,modax rodas5 numba,30000,13.010340742766857
modax rodas5 numba,modax rodas5 numba,100000,31.354557257145643
diffrax kvaerno5,diffrax kvaerno5,1,799.107642378658
diffrax kvaerno5,diffrax kvaerno5,3,845.7105699926615
diffrax kvaerno5,diffrax kvaerno5,10,851.3056240044534
diffrax kvaerno5,diffrax kvaerno5,30,877.9850131832063
diffrax kvaerno5,diffrax kvaerno5,100,916.8149051256478
diffrax kvaerno5,diffrax kvaerno5,300,919.0593799576163
diffrax kvaerno5,diffrax kvaerno5,1000,926.8239228986204
diffrax kvaerno5,diffrax kvaerno5,3000,978.0444311909378
diffrax kvaerno5,diffrax kvaerno5,10000,1206.6811067052186
diffrax kvaerno5,diffrax kvaerno5,30000,1944.3096318282187
diffrax kvaerno5,diffrax kvaerno5,100000,4431.085018906742
julia rodas5 array,julia rodas5 array,1,0.33635099999999996
julia rodas5 array,julia rodas5 array,3,116.189644
julia rodas5 array,julia rodas5 array,10,112.74690299999999
julia rodas5 array,julia rodas5 array,30,113.515756
julia rodas5 array,julia rodas5 array,100,113.74206000000001
julia rodas5 array,julia rodas5 array,300,119.257769
julia rodas5 array,julia rodas5 array,1000,124.775263
julia rodas5 array,julia rodas5 array,3000,190.234828
julia rodas5 array,julia rodas5 array,10000,338.37627
julia rodas5 array,julia rodas5 array,30000,
julia rodas5 array,julia rodas5 array,100000,
julia rodas5 kernel,julia rodas5 kernel,1,
julia rodas5 kernel,julia rodas5 kernel,3,4.765671
julia rodas5 kernel,julia rodas5 kernel,10,4.804522
julia rodas5 kernel,julia rodas5 kernel,30,4.783314000000001
julia rodas5 kernel,julia rodas5 kernel,100,5.5603240000000005
julia rodas5 kernel,julia rodas5 kernel,300,5.098623
julia rodas5 kernel,julia rodas5 kernel,1000,6.452055
julia rodas5 kernel,julia rodas5 kernel,3000,11.091239
julia rodas5 kernel,julia rodas5 kernel,10000,31.301057
julia rodas5 kernel,julia rodas5 kernel,30000,102.901516
julia rodas5 kernel,julia rodas5 kernel,100000,313.679761
