gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,0.0,3,30000,94.39018194098026,156.0,0.0,0.0,0.6050652688524375,0.0,156,156,9.0
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,0.25,3,30000,93.16187095828354,123.54123333333334,19.00207889799527,0.15381163345459506,0.7540953610760742,361.07900244563706,72,173,6.2318
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,0.5,3,30000,97.69228496588767,118.13676666666667,24.693342967659376,0.2090233520385218,0.8269422612651579,609.7611869184528,54,181,5.867766666666666
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,0.75,3,30000,98.49220491014421,112.28396666666667,29.756565293026625,0.2650117035975747,0.8771706935018998,885.4531780381567,40,182,5.5248333333333335
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,1.0,3,30000,99.87546596676111,106.195,33.50275992856053,0.3154834025006877,0.9404912280875852,1122.434922830761,32,184,5.2273
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,1.25,3,30000,100.43399699497968,100.1007,35.958458344793065,0.35922284604196636,1.0033296170254522,1293.0107265342178,27,184,5.0027333333333335
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,1.5,3,30000,101.01825697347522,94.28416666666666,37.380068552055754,0.39646178010152733,1.071423342273537,1397.2695249563876,22,185,4.826433333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,1.75,3,30000,102.34543797560036,88.94036666666666,38.060038046251236,0.42792760444640143,1.1507197666406483,1448.5664960820916,19,187,4.696666666666666
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,2.0,3,30000,104.70215906389058,84.22983333333333,38.28939904518652,0.4545823911779459,1.243053143053715,1466.0780792415303,18,188,4.620533333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,2.5,3,30000,106.00838006939739,76.88596666666666,38.15802795702115,0.4962937921097151,1.3787741074907567,1456.0350975688077,16,193,4.635266666666666
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P array fp32,modax rodas5P array fp32,3.0,3,30000,128.49850801285356,72.1089,38.294049867638385,0.5310585776185517,1.7820062157771586,1466.4342552651756,14,234,4.9692
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,0.0,3,30000,15.167450997978449,156.0,0.0,0.0,0.09722724998704134,0.0,156,156,9.0
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,0.25,3,30000,16.385471099056304,123.62573333333333,19.026113394365442,0.15390091432715822,0.13254094157626545,361.9929908952521,72,173,6.243333333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,0.5,3,30000,16.89559197984636,118.2018,24.711188387470372,0.20905932386368373,0.14293853376045337,610.6428315210507,54,182,5.8779
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,0.75,3,30000,17.181111965328455,112.33936666666666,29.772532258019147,0.2650231449707225,0.15293937001005395,886.4036770547907,40,182,5.531166666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,1.0,3,30000,17.046640976332128,106.23676666666667,33.51737492743562,0.3154969412105817,0.16045895890090903,1123.4144220262897,32,184,5.2297
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,1.25,3,30000,17.18543202150613,100.14066666666666,35.96261192596333,0.35912095578183356,0.17161291804367987,1293.30945653744,27,184,4.997166666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,1.5,3,30000,14.765380066819489,94.31596666666667,37.377605165542015,0.39630198879944345,0.15655228471551993,1397.0853679111528,22,185,4.805933333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,1.75,3,30000,14.76510101929307,88.9754,38.0526932260437,0.42767656257846215,0.1659458796396877,1448.007461755392,19,187,4.6578
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,2.0,3,30000,14.738500001840293,84.27506666666666,38.279747251393175,0.45422387386296753,0.17488565224321342,1465.3390496305433,18,188,4.576333333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,2.5,3,30000,14.288219972513616,76.9401,38.156224156809984,0.49592116668434255,0.18570576295733454,1455.89744190473,16,190,4.5633333333333335
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32,modax rodas5P kernel fp32,3.0,3,30000,14.471619972027838,72.2076,38.357474005731966,0.5312110360368156,0.2004168532402107,1471.2958121004035,14,247,4.873166666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),0.0,3,30000,13.482928974553943,156.0,0.0,0.0,0.0864290318881663,0.0,156,156,9.0
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),0.25,3,30000,10.558088077232242,123.62573333333333,19.026113394365442,0.15390091432715822,0.08540364366344635,361.99299089525203,72,173,6.243333333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),0.5,3,30000,10.268467012792826,118.2018,24.711188387470372,0.20905932386368373,0.08687234046175968,610.6428315210507,54,182,5.8779
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),0.75,3,30000,9.732727077789605,112.33936666666666,29.772532258019147,0.2650231449707225,0.08663683414442375,886.4036770547907,40,182,5.531166666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),1.0,3,30000,9.501046035438776,106.23676666666667,33.51737492743562,0.3154969412105817,0.08943274850645344,1123.41442202629,32,184,5.2297
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),1.25,3,30000,8.695156080648303,100.14066666666666,35.96261192596333,0.35912095578183356,0.08682942075462154,1293.3094565374402,27,184,4.997166666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),1.5,3,30000,8.190765045583248,94.31596666666667,37.37760516554201,0.39630198879944334,0.08684388587704572,1397.0853679111526,22,185,4.805933333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),1.75,3,30000,7.793604978360236,88.9754,38.0526932260437,0.42767656257846215,0.08759280630781358,1448.007461755392,19,187,4.6578
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),2.0,3,30000,7.341444958001375,84.27506666666666,38.279747251393175,0.45422387386296753,0.08711289410234473,1465.3390496305433,18,188,4.576333333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),2.5,3,30000,6.757915019989014,76.9401,38.15622415680999,0.4959211666843426,0.0878334577156647,1455.8974419047302,16,190,4.5633333333333335
NVIDIA GeForce RTX 4070 SUPER,modax rodas5P kernel fp32 (sorted),modax rodas5P kernel fp32 (sorted),3.0,3,30000,7.540464983321726,72.2076,38.357474005731966,0.5312110360368156,0.10442758079927496,1471.2958121004033,14,247,4.873166666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,0.0,3,30000,103.548296,155.0,0.0,0.0,0.6680535225806451,0.0,155,155,5.0
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,0.25,3,30000,193.487002,123.0631,19.050522717339284,0.15480288337722098,1.5722584755300328,362.92241580386013,72,171,3.3698
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,0.5,3,30000,209.212445,117.68326666666667,24.696854276390354,0.2098586738447977,1.7777586476468759,609.9346111492605,53,181,3.0033666666666665
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,0.75,3,30000,251.14544100000003,111.61536666666667,29.87868328852624,0.2676932771968338,2.2500973521865717,892.7357150560573,39,182,2.4876666666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,1.0,3,30000,269.349016,105.44596666666666,33.58722203132735,0.3185254314894992,2.5543795036889354,1128.1014837816815,31,183,2.0553666666666666
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,1.25,3,30000,306.485008,99.44483333333334,35.92896769548045,0.3612954689666846,3.0819600951281196,1290.8907196628777,27,187,1.7987666666666666
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,1.5,3,30000,311.010675,93.82023333333333,37.235656751963084,0.3968830115745795,3.3149637764703916,1386.4941337500138,25,184,1.6612333333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,1.75,3,30000,326.613141,88.72126666666666,37.854995369409785,0.4266732970758208,3.6813399230098156,1433.0006744180362,23,188,1.6251666666666666
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,2.0,3,30000,359.671541,84.24323333333334,38.05540274391389,0.4517324565800603,4.269441316157143,1448.2136780014887,21,188,1.6449333333333334
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel,julia rodas5P kernel,2.5,3,30000,364.948843,77.23836666666666,38.00639635909148,0.4920662877700869,4.724968415955629,1444.4861642043625,19,190,1.7839333333333334
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),0.0,3,30000,103.325797,155.0,0.0,0.0,0.6666180451612903,0.0,155,155,5.0
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),0.25,3,30000,158.124388,123.0631,19.050522717339284,0.15480288337722098,1.2849049633887006,362.92241580386013,72,171,3.3698
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),0.5,3,30000,185.901422,117.68326666666667,24.696854276390354,0.2098586738447977,1.579675915409101,609.9346111492605,53,181,3.0033666666666665
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),0.75,3,30000,177.40814699999999,111.61536666666667,29.87868328852624,0.2676932771968338,1.5894598772391255,892.7357150560573,39,182,2.4876666666666667
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),1.0,3,30000,185.882265,105.44596666666666,33.58722203132735,0.3185254314894992,1.7628200572868442,1128.1014837816815,31,183,2.0553666666666666
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),1.25,3,30000,210.600868,99.44483333333334,35.92896769548045,0.3612954689666846,2.1177658098543746,1290.8907196628777,27,187,1.7987666666666666
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),1.5,3,30000,216.382532,93.82023333333333,37.235656751963084,0.3968830115745795,2.3063525245265146,1386.4941337500138,25,184,1.6612333333333333
NVIDIA GeForce RTX 4070 SUPER,julia rodas5P kernel (sorted),julia rodas5P kernel (sorted),1.75,3,30000,232.627676,88.72126666666666,37.854995369409785,0.4266732970758208,2.6220058024419552,1433.0006744180362,23,188,1.6251666666666666
