gpu,solver_key,solver,divergence,dim,ensemble_size,solve_time_ms,mean_steps,step_std,step_cv,normalized_solve_time_ms_per_step,step_variance,min_steps,max_steps,rejected_steps_mean
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.0,3,30000,76.17204217240214,134.0,0.0,0.0,0.5684480759134488,0.0,134,134,3.0
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.1,3,30000,73.17571435123682,129.87223333333333,3.0670435119322472,0.023615852543786602,0.5634438745919014,9.406755904085692,125,138,3.003833333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.2,3,30000,69.02323476970196,126.2733,4.451906081548137,0.03525611575485979,0.5466178104928117,19.819467758925292,119,139,3.026466666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.3,3,30000,68.66538198664784,123.31293333333333,5.622335791366484,0.04559404791846503,0.5568384445209411,31.61065975088059,112,138,3.037533333333333
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.4,3,30000,68.06309567764401,120.63916666666667,6.84011638877312,0.05669896914716575,0.5641873825745702,46.78719221196262,108,137,3.033166666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.5,3,30000,67.90334358811378,118.0332,8.102856675449514,0.06864896211785765,0.575290202994698,65.65628630287677,103,136,3.0448
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.6,3,30000,68.7984130345285,115.51016666666666,9.367640492416898,0.0810979739943546,0.5956048287339368,87.75268839516872,98,138,3.0454333333333334
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.7,3,30000,68.4415278956294,113.0539,10.642545289967448,0.09413691425034826,0.6053884730701852,113.2637702490083,94,137,3.0456333333333334
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.8,3,30000,69.03750402852893,110.64373333333333,11.924295102409417,0.10777198801205867,0.6239621707317263,142.1888136893452,88,139,3.048766666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,0.9,3,30000,69.86647099256516,108.1232,13.457292634509923,0.12446258189278456,0.64617465069999,181.09872505083501,80,140,3.0513
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 jax fp32 lu,modax rodas5 jax fp32 lu,1.0,3,30000,68.27181717380881,105.04923333333333,15.847994027932343,0.15086253868835797,0.6499030502885677,251.15891470937922,68,137,3.048566666666667
NVIDIA GeForce RTX 4070 SUPER,modax rodas5 numba,modax rodas5 numba,0.0,3,30000,12.812006752938032,134.0,0.0,0.0,0.0956119906935674,0.0,134,134,3.0
