gpu,case_key,batch_size,solve_time_ms,total_lane_iterations,wasted_lane_iterations,min_batch_loop_iterations,max_batch_loop_iterations,wasted_lane_iteration_ratio
NVIDIA GeForce RTX 4070 SUPER,identical_random,10000,1514.8254479281604,59600000,0,149,149,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,25000,1000.921480008401,59600000,0,149,149,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,50000,892.7261600038037,59600000,0,149,149,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,100000,813.8225600123405,59600000,0,149,149,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,200000,766.6612919420004,59600000,0,149,149,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,400000,773.6247360007837,59600000,0,149,149,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,10000,1547.96694801189,60270000,9938087,150,151,0.16489276588684254
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,25000,1024.8336649965495,60400000,10068087,151,151,0.1666901821192053
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,50000,918.5760699911043,60400000,10068087,151,151,0.1666901821192053
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,100000,834.3442799523473,60400000,10068087,151,151,0.1666901821192053
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,200000,783.1764980219305,60400000,10068087,151,151,0.1666901821192053
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,400000,790.4312640894204,60400000,10068087,151,151,0.1666901821192053
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,10000,1289.110918994993,50640000,308087,94,151,0.006083866508688783
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,25000,859.0974999824539,51125000,793087,100,151,0.015512704156479217
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,50000,784.1469190316275,51850000,1518087,107,151,0.02927843780135005
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,100000,731.1230699997395,53300000,2968087,116,151,0.055686435272045025
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,200000,720.2309700660408,55800000,5468087,128,151,0.09799439068100359
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,400000,787.6468029571697,60400000,10068087,151,151,0.1666901821192053
