gpu,case_key,batch_size,solve_time_ms,total_lane_iterations,wasted_lane_iterations,min_batch_loop_iterations,max_batch_loop_iterations,wasted_lane_iteration_ratio
NVIDIA GeForce RTX 4070 SUPER,identical_random,10000,1190.2521550655365,50000000,0,125,125,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,25000,784.8754436708987,50000000,0,125,125,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,50000,694.0062479116023,50000000,0,125,125,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,100000,631.9041242823005,50000000,0,125,125,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,200000,592.5913117825985,50000000,0,125,125,0.0
NVIDIA GeForce RTX 4070 SUPER,identical_random,400000,591.5699498727918,50000000,0,125,125,0.0
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,10000,1228.3667060546577,51110000,10273364,127,131,0.20100496967325376
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,25000,815.5705817043781,51325000,10488364,127,131,0.2043519532391622
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,50000,722.8132309392095,51500000,10663364,127,131,0.20705561165048544
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,100000,661.3784586079419,51800000,10963364,128,131,0.21164795366795366
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,200000,621.0598349571228,52000000,11163364,129,131,0.21468007692307692
NVIDIA GeForce RTX 4070 SUPER,ic_large_random,400000,622.9350012727082,52400000,11563364,131,131,0.2206748854961832
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,10000,983.4743267856538,41160000,323364,73,131,0.007856268221574344
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,25000,657.2788651101291,41600000,763364,78,131,0.018350096153846154
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,50000,590.5392142012715,42400000,1563364,84,131,0.03687179245283019
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,100000,560.0543590262532,44000000,3163364,92,131,0.07189463636363637
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,200000,557.4142918922007,46800000,5963364,103,131,0.1274223076923077
NVIDIA GeForce RTX 4070 SUPER,ic_large_sorted,400000,621.8029907904565,52400000,11563364,131,131,0.2206748854961832
