solver_key,solver,dim,solve_time_ms
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,2,23.77641503699124
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,4,48.135928926058114
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,6,65.95549103803933
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,8,103.26579899992794
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,10,115.54437596350908
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,12,160.16387392301112
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,16,265.04003908485174
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,32,1142.3924970440567
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,64,3798.7666859989986
modax rodas5P jax fp32 lu,modax rodas5P jax fp32 lu,128,6642.343266052194
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,2,22.049978957511485
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,4,44.664176995866
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,6,74.58442496135831
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,8,114.02906698640436
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,10,151.91251307260245
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,12,207.90836901869625
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,16,326.4831630513072
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,32,1893.295374000445
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,64,6194.023494957946
modax rodas5P jax fp64 lu,modax rodas5P jax fp64 lu,128,14963.390095974319
modax rodas5P numba,modax rodas5P numba,2,4.366897977888584
modax rodas5P numba,modax rodas5P numba,4,10.873499908484519
modax rodas5P numba,modax rodas5P numba,6,14.611186925321817
modax rodas5P numba,modax rodas5P numba,8,15.240748063661158
modax rodas5P numba,modax rodas5P numba,10,23.143635946325958
modax rodas5P numba,modax rodas5P numba,12,30.770735000260174
modax rodas5P numba,modax rodas5P numba,16,61.62192695774138
modax rodas5P numba,modax rodas5P numba,32,402.9237430077046
modax rodas5P numba,modax rodas5P numba,64,3624.482161947526
modax rodas5P numba,modax rodas5P numba,128,
diffrax kvaerno5,diffrax kvaerno5,2,648.9320117980242
diffrax kvaerno5,diffrax kvaerno5,4,1297.2849518992007
diffrax kvaerno5,diffrax kvaerno5,6,1694.0422831103206
diffrax kvaerno5,diffrax kvaerno5,8,2070.7767331041396
diffrax kvaerno5,diffrax kvaerno5,10,2463.0625410936773
diffrax kvaerno5,diffrax kvaerno5,12,2823.1713348068297
diffrax kvaerno5,diffrax kvaerno5,16,3232.2709131985903
diffrax kvaerno5,diffrax kvaerno5,32,10289.791434071958
diffrax kvaerno5,diffrax kvaerno5,64,32351.82336391881
diffrax kvaerno5,diffrax kvaerno5,128,
julia rodas5P array,julia rodas5P array,2,402.35583
julia rodas5P array,julia rodas5P array,4,525.8998419999999
julia rodas5P array,julia rodas5P array,6,547.4457980000001
julia rodas5P array,julia rodas5P array,8,554.169445
julia rodas5P array,julia rodas5P array,10,560.242764
julia rodas5P array,julia rodas5P array,12,675.571585
julia rodas5P array,julia rodas5P array,16,1167.9353290000001
julia rodas5P array,julia rodas5P array,32,
julia rodas5P array,julia rodas5P array,64,
julia rodas5P array,julia rodas5P array,128,
julia rodas5P kernel,julia rodas5P kernel,2,17.346271
julia rodas5P kernel,julia rodas5P kernel,4,60.577277
julia rodas5P kernel,julia rodas5P kernel,6,177.101425
julia rodas5P kernel,julia rodas5P kernel,8,368.15005699999995
julia rodas5P kernel,julia rodas5P kernel,10,684.42085
julia rodas5P kernel,julia rodas5P kernel,12,
julia rodas5P kernel,julia rodas5P kernel,16,
julia rodas5P kernel,julia rodas5P kernel,32,
julia rodas5P kernel,julia rodas5P kernel,64,
julia rodas5P kernel,julia rodas5P kernel,128,
